Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	0.25304
1.15E-05	0.246556
1.26E-05	0.252921
1.38E-05	0.254134
1.51E-05	0.246621
1.65E-05	0.252714
1.81E-05	0.246018
1.98E-05	0.253447
2.17E-05	0.254025
2.38E-05	0.244218
2.61E-05	0.24848
2.86E-05	0.251875
3.13E-05	0.251927
3.43E-05	0.250103
3.76E-05	0.250738
4.12E-05	0.251712
4.51E-05	0.249264
4.94E-05	0.252961
5.41E-05	0.253376
5.93E-05	0.25251
6.49E-05	0.249397
7.11E-05	0.249994
7.79E-05	0.248136
8.53E-05	0.248638
9.35E-05	0.251381
0.000102412	0.249158
0.000112187	0.247795
0.0001229	0.249028
0.000134637	0.25036
0.000147488	0.250635
0.000161575	0.247824
0.000177	0.249504
0.0001939	0.250758
0.000212412	0.250006
0.000232687	0.248847
0.000254912	0.249937
0.00027925	0.248257
0.000305912	0.248126
0.000335112	0.249354
0.000367112	0.248599
0.000402175	0.247678
0.000440575	0.248499
0.000482637	0.248162
0.000528712	0.249404
0.0005792	0.248402
0.0006345	0.248
0.000695075	0.248047
0.000761437	0.247165
0.000834137	0.24709
0.000913787	0.247176
0.00100104	0.247593
0.00109661	0.247123
0.00120133	0.246451
0.00131602	0.24612
0.00144167	0.245512
0.00157932	0.244784
0.00173011	0.244864
0.0018953	0.243907
0.00207626	0.243034
0.0022745	0.242321
0.00249166	0.241222
0.00272957	0.240766
0.00299019	0.240301
0.00327569	0.238942
0.00358845	0.238116
0.00393106	0.236455
0.0043064	0.235054
0.00471757	0.23387
0.005168	0.232635
0.00566142	0.230506
0.00620197	0.22853
0.00679414	0.226447
0.00744284	0.224579
0.00815346	0.222198
0.00893195	0.219635
0.00978476	0.217409
0.010719	0.214703
0.0117424	0.211865
0.0128636	0.209032
0.0140918	0.206108
0.0154372	0.203318
0.0169112	0.200194
0.0185258	0.196947
0.0202947	0.193811
0.0222324	0.191296
0.0243551	0.189759
0.0266805	0.187876
0.0292279	0.18567
0.0320186	0.182219
0.0350756	0.1756
0.0384246	0.166919
0.0420934	0.158208
0.0461124	0.148961
0.0505151	0.141546
0.0553383	0.13784
0.0606219	0.13692
0.06641	0.133217
0.0727507	0.123086
0.0796969	0.110514
0.0873063	0.104283
