Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	0.166786
1.15E-05	0.160957
1.26E-05	0.166759
1.38E-05	0.161323
1.51E-05	0.171573
1.65E-05	0.172379
1.81E-05	0.163566
1.98E-05	0.158671
2.17E-05	0.160722
2.38E-05	0.164526
2.61E-05	0.166768
2.86E-05	0.161798
3.13E-05	0.167032
3.43E-05	0.15906
3.76E-05	0.165434
4.12E-05	0.161267
4.51E-05	0.166171
4.94E-05	0.164451
5.41E-05	0.164981
5.93E-05	0.161162
6.49E-05	0.163257
7.11E-05	0.161068
7.79E-05	0.162233
8.53E-05	0.162588
9.35E-05	0.163221
0.000102412	0.161024
0.000112187	0.163189
0.0001229	0.163967
0.000134637	0.160332
0.000147488	0.15958
0.000161575	0.160514
0.000177	0.159828
0.0001939	0.160613
0.000212412	0.159196
0.000232687	0.155958
0.000254912	0.15753
0.00027925	0.15872
0.000305912	0.155727
0.000335112	0.156105
0.000367112	0.153195
0.000402175	0.151775
0.000440575	0.153305
0.000482637	0.151922
0.000528712	0.149967
0.0005792	0.147556
0.0006345	0.146246
0.000695075	0.14369
0.000761437	0.141963
0.000834137	0.141373
0.000913787	0.13757
0.00100104	0.13551
0.00109661	0.131967
0.00120133	0.129132
0.00131602	0.125881
0.00144167	0.123027
0.00157932	0.118314
0.00173011	0.114891
0.0018953	0.110408
0.00207626	0.10655
0.0022745	0.10203
0.00249166	0.0981518
0.00272957	0.0927186
0.00299019	0.0883747
0.00327569	0.0837085
0.00358845	0.0783447
0.00393106	0.0740021
0.0043064	0.0684493
0.00471757	0.0641251
0.005168	0.0593238
0.00566142	0.0546649
0.00620197	0.0500173
0.00679414	0.0458051
0.00744284	0.0415436
0.00815346	0.0381444
0.00893195	0.035218
0.00978476	0.0324782
0.010719	0.03025
0.0117424	0.0282469
0.0128636	0.0262504
0.0140918	0.025044
0.0154372	0.0240287
0.0169112	0.0250988
0.0185258	0.027942
0.0202947	0.0294448
0.0222324	0.0292704
0.0243551	0.0304176
0.0266805	0.0334217
0.0292279	0.0384582
0.0320186	0.0401437
0.0350756	0.0353765
0.0384246	0.0267744
0.0420934	0.0206541
0.0461124	0.0178517
0.0505151	0.0179447
0.0553383	0.0166002
0.0606219	0.0173078
0.06641	0.0163384
0.0727507	0.0131343
0.0796969	0.0108584
0.0873063	0.00865308
