Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	0.135831
1.15E-05	0.133231
1.26E-05	0.131646
1.38E-05	0.137566
1.51E-05	0.134733
1.65E-05	0.134603
1.81E-05	0.141014
1.98E-05	0.133584
2.17E-05	0.130049
2.38E-05	0.131921
2.61E-05	0.13518
2.86E-05	0.135445
3.13E-05	0.136109
3.43E-05	0.131751
3.76E-05	0.136324
4.12E-05	0.130749
4.51E-05	0.13434
4.94E-05	0.134664
5.41E-05	0.133118
5.93E-05	0.135491
6.49E-05	0.134925
7.11E-05	0.131755
7.79E-05	0.135924
8.53E-05	0.13047
9.35E-05	0.133027
0.000102412	0.135303
0.000112187	0.132635
0.0001229	0.132281
0.000134637	0.130841
0.000147488	0.133476
0.000161575	0.132016
0.000177	0.131397
0.0001939	0.13051
0.000212412	0.129662
0.000232687	0.130504
0.000254912	0.128646
0.00027925	0.12678
0.000305912	0.128129
0.000335112	0.127973
0.000367112	0.126291
0.000402175	0.124963
0.000440575	0.125486
0.000482637	0.12467
0.000528712	0.123092
0.0005792	0.123058
0.0006345	0.121401
0.000695075	0.121129
0.000761437	0.120115
0.000834137	0.119155
0.000913787	0.118443
0.00100104	0.116893
0.00109661	0.115777
0.00120133	0.113637
0.00131602	0.11293
0.00144167	0.110736
0.00157932	0.109336
0.00173011	0.107994
0.0018953	0.10579
0.00207626	0.104348
0.0022745	0.102257
0.00249166	0.100763
0.00272957	0.0984629
0.00299019	0.0965372
0.00327569	0.0944849
0.00358845	0.0923131
0.00393106	0.0902028
0.0043064	0.0877562
0.00471757	0.0859736
0.005168	0.0836028
0.00566142	0.0818203
0.00620197	0.0792162
0.00679414	0.0772795
0.00744284	0.0747871
0.00815346	0.0723687
0.00893195	0.0696338
0.00978476	0.0666694
0.010719	0.0646544
0.0117424	0.0626073
0.0128636	0.0598566
0.0140918	0.0579429
0.0154372	0.0560271
0.0169112	0.0532968
0.0185258	0.0507302
0.0202947	0.0480222
0.0222324	0.0454891
0.0243551	0.0432451
0.0266805	0.040985
0.0292279	0.037908
0.0320186	0.0356462
0.0350756	0.0335011
0.0384246	0.0309627
0.0420934	0.0279027
0.0461124	0.025344
0.0505151	0.0229014
0.0553383	0.0212742
0.0606219	0.0192036
0.06641	0.0172725
0.0727507	0.0154678
0.0796969	0.0132786
0.0873063	0.0116513
