Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	0.0678001
1.15E-05	0.0692651
1.26E-05	0.0703273
1.38E-05	0.0725965
1.51E-05	0.068437
1.65E-05	0.0670092
1.81E-05	0.0688641
1.98E-05	0.0690732
2.17E-05	0.070036
2.38E-05	0.0690522
2.61E-05	0.0706479
2.86E-05	0.0694685
3.13E-05	0.0712672
3.43E-05	0.0691901
3.76E-05	0.0705509
4.12E-05	0.0695117
4.51E-05	0.0678734
4.94E-05	0.06977
5.41E-05	0.0697185
5.93E-05	0.0685262
6.49E-05	0.0670831
7.11E-05	0.0684079
7.79E-05	0.0683872
8.53E-05	0.0683615
9.35E-05	0.0678526
0.000102412	0.0681226
0.000112187	0.0673192
0.0001229	0.0690501
0.000134637	0.06894
0.000147488	0.0680072
0.000161575	0.0677783
0.000177	0.067687
0.0001939	0.0678502
0.000212412	0.0670205
0.000232687	0.066873
0.000254912	0.0666844
0.00027925	0.0668721
0.000305912	0.0663847
0.000335112	0.0663862
0.000367112	0.0662367
0.000402175	0.0659002
0.000440575	0.0656324
0.000482637	0.0647122
0.000528712	0.0640351
0.0005792	0.0646592
0.0006345	0.0638541
0.000695075	0.0631154
0.000761437	0.0626574
0.000834137	0.0615727
0.000913787	0.0613471
0.00100104	0.0605169
0.00109661	0.0595463
0.00120133	0.0584755
0.00131602	0.0575
0.00144167	0.0563969
0.00157932	0.0551597
0.00173011	0.0541634
0.0018953	0.0530536
0.00207626	0.0516774
0.0022745	0.0502721
0.00249166	0.0488429
0.00272957	0.0476688
0.00299019	0.0462428
0.00327569	0.0448523
0.00358845	0.0436943
0.00393106	0.0424391
0.0043064	0.0415705
0.00471757	0.0410107
0.005168	0.0404626
0.00566142	0.0400868
0.00620197	0.0400214
0.00679414	0.0398733
0.00744284	0.0393507
0.00815346	0.0381921
0.00893195	0.0361455
0.00978476	0.033595
0.010719	0.030833
0.0117424	0.0284576
0.0128636	0.0269517
0.0140918	0.0265533
0.0154372	0.0264751
0.0169112	0.0258161
0.0185258	0.0233807
0.0202947	0.0213166
0.0222324	0.0216162
0.0243551	0.0232253
0.0266805	0.0219446
0.0292279	0.0201296
0.0320186	0.021219
0.0350756	0.0192407
0.0384246	0.0163955
0.0420934	0.0149975
0.0461124	0.0117008
0.0505151	0.0108612
0.0553383	0.00935619
0.0606219	0.00879165
0.06641	0.00794
0.0727507	0.00551154
0.0796969	0.00332821
0.0873063	0.00223924
