Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	-1
1.15E-05	-1
1.26E-05	-1
1.38E-05	-1
1.51E-05	-1
1.65E-05	-1
1.81E-05	-1
1.98E-05	2298.29
2.17E-05	-1
2.38E-05	-1
2.61E-05	1138.8
2.86E-05	-1
3.13E-05	-1
3.43E-05	-1
3.76E-05	-1
4.12E-05	-1
4.51E-05	-1
4.94E-05	-1
5.41E-05	-1
5.93E-05	-1
6.49E-05	-1
7.11E-05	-1
7.79E-05	-1
8.53E-05	-1
9.35E-05	-1
0.000102412	-1
0.000112187	-1
0.0001229	-1
0.000134637	-1
0.000147488	-1
0.000161575	-1
0.000177	-1
0.0001939	-1
0.000212412	-1
0.000232687	-1
0.000254912	-1
0.00027925	-1
0.000305912	-1
0.000335112	-1
0.000367112	-1
0.000402175	-1
0.000440575	-1
0.000482637	-1
0.000528712	-1
0.0005792	-1
0.0006345	-1
0.000695075	-1
0.000761437	-1
0.000834137	-1
0.000913787	-1
0.00100104	-1
0.00109661	-1
0.00120133	-1
0.00131602	-1
0.00144167	-1
0.00157932	-1
0.00173011	-1
0.0018953	-1
0.00207626	-1
0.0022745	-1
0.00249166	-1
0.00272957	-1
0.00299019	3.29583
0.00327569	-1
0.00358845	-1
0.00393106	-1
0.0043064	-1
0.00471757	-1
0.005168	-1
0.00566142	-1
0.00620197	-1
0.00679414	-1
0.00744284	-1
0.00815346	-1
0.00893195	0.385646
0.00978476	-1
0.010719	-1
0.0117424	-1
0.0128636	-0.836528
0.0140918	-1
0.0154372	-1
0.0169112	-1
0.0185258	-1
0.0202947	-1
0.0222324	-1
0.0243551	-1
0.0266805	-0.781508
0.0292279	-0.322107
0.0320186	-1
0.0350756	-1
0.0384246	-0.263099
0.0420934	-0.701819
0.0461124	-1
0.0505151	-1
0.0553383	0.484544
0.0606219	-1
0.06641	-0.617912
0.0727507	-1
0.0796969	-0.716341
0.0873063	-0.626295
